Abowd, G. <- Abowd, G.D.
Abram, G. <- Abram, G.D.
Aliaga, D. <- Aliaga, D. G.
Aliaga, D. <- Aliaga, Daniel G.
Avila, R. <- Avila, R.S.
Bailey, M. <- Bailey, M.J.
Bair, A. <- Bair, A.S.
Bajaj, C.L. <- Bajaj, C.
Baker, C. <- Baker, C.A.H.
Barr, A. <- Barr, A.H.
Batra, R. <- Batra, R.K.
Batra, R. <- Batra, R. K.
Becker, B. <- Becker, B.G.
Bemis, K. <- Bemis, K.G.
Bertam, M. <- Bertram, M.-H.
Bhasker, E. <- Bhasker, E.S.
Bonnell, K. <- Bonnell, K.S.
Borkin, M. <- Borkin, M.A.
Botts, M. <- Botts, M.E.
Bowman, D.A. <- Bowman, Doug
Brannon, R. <- Brannon, R.M.
Breen, D. <- Breen, D.E.
Bremer, P.-T. <- Bremer, P.
Brown, M.S. <- Brown, M.
Bryson, S. <- Bryson, S. T.
Bum Chul Kwon <- Bum chul Kwon
Carpendale, S. <- Carpendale, M.S.T.
Chi, E.H. <- Chi, Ed H.
Chi, E.H. <- Chi, E.H.-H.
Clapworthy, G. <- G.J.
Clark, D. <- Clark, D.W.
Cohen, J.D. <- Cohehn, J.
Collins, N. <- Collins, N.S.
Correa, C. <- Correa, C.D.
Crawfis, R. <- Crawfis, R.A.
Crossno, P. <- Crossno, P.J.
Crossno, P. <- Crossno, P. J.
Crow, V. <- Crow, V.L.
Cui, D.H. <- Cui, D. H.
Czerwinski, M. <- Czerwinski, Mary
Davidson, G. <- Davidson, G.S.
De Floriani, L. <- De Fioriani, L.
de Leeuw, W. <- De Leeuw, W.C.
de Leeuw, W. <- de Leeuw, W.C.
Drucker, S. <- Drucker, Steven M.
Duchaineau, M. <- Duchaineau, M.A.
Ebert, D.S. <- Ebert, D.
Egbert, P. <- Egbert, P.K.
Feiner, S. <- Feiner, Steven K.
Fekete, J. <- Fekete, J.-D.
Forbes, A. <- Forbes, A.G.
Gaither, K. <- Gaither, K.P.
Gajos, K. <- Gajos, K.Z.
Gershon, N. <- Gershon, N.D.
Gosink, L. <- Gosink, L.J.
Gresh, D.L. <- Gresh, D.
Grinstein, F. <- Grinstein, F.F.
Grinstein, G. <- Grinstein, G.G.
Groller, E. <- Groller, E.M.
Groller, E. <- Groller, M.E.
Gross, M.H. <- Gross, Markus
Gu, X. <- Gu, X.D.
Gyulassy, A. <- Gyulassy, A.G.
Haber, R. <- Haber, R.B.
Hansen, C. <- Hansen, C.D.
Havre, S. <- Havre, S.L.
Healey, C. <- Healey, C.G.
Healey, C. <- Healey, Christopher G.
Hesselink, L. <- Hesselink, Lambertus
Hetzler, E. <- Hetzler, B.
Hetzler, E. <- Hetzler, E.G.
Hibbard, W. <- Hibbard, W.L.
Horn, W. <- Horn, W.P.
House, D. <- House, D.H.
Huang, J. <- Huang, Jian
Irani, P. <- Irani, P.P.
Itoh, T. <- Itoh, Takayuki
Johnson, C.R. <- Johnson, C.
Jones, C. <- Jones, C.S.
Jones, M. <- Jones, M.W.
Joy, K.I. <- Joy, K. I.
Joy, K.I. <- Joy, Kenneth
